"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.1744","4.5342","0.0059","1034.0922","BlosSec + 20% Malicious Nodes",10
"2","0.1577","5.108","0.0119","979.5646","BlosSec + 20% Malicious Nodes",10
"3","0.163","4.9119","0.0063","990.5191","BlosSec + 20% Malicious Nodes",10
"4","0.1621","4.9581","0.0063","1018.9399","BlosSec + 20% Malicious Nodes",10
"5","0.1657","4.8504","0.0031","1107.2982","BlosSec + 20% Malicious Nodes",10
"6","0.2942","2.2741","0.0157","2059.3927","BlosSec + 20% Malicious Nodes",20
"7","0.2875","2.3487","0.0166","2044.3001","BlosSec + 20% Malicious Nodes",20
"8","0.2902","2.3164","0.0177","2094.347","BlosSec + 20% Malicious Nodes",20
"9","0.2919","2.2947","0.0193","2059.4939","BlosSec + 20% Malicious Nodes",20
"10","0.2965","2.2146","0.0248","2034.4486","BlosSec + 20% Malicious Nodes",20
"11","0.3749","1.5608","0.0178","2897.0978","BlosSec + 20% Malicious Nodes",30
"12","0.3754","1.5581","0.0192","2951.1616","BlosSec + 20% Malicious Nodes",30
"13","0.3641","1.6226","0.0202","2910.5907","BlosSec + 20% Malicious Nodes",30
"14","0.3785","1.5358","0.0127","2898.4719","BlosSec + 20% Malicious Nodes",30
"15","0.3887","1.4706","0.0128","2909.7982","BlosSec + 20% Malicious Nodes",30
"16","0.4572","1.1","0.0164","3756.7618","BlosSec + 20% Malicious Nodes",40
"17","0.4537","1.1101","0.0218","3804.178","BlosSec + 20% Malicious Nodes",40
"18","0.4597","1.0862","0.0193","3739.8296","BlosSec + 20% Malicious Nodes",40
"19","0.4462","1.1455","0.0226","3735.1764","BlosSec + 20% Malicious Nodes",40
"20","0.4701","1.0411","0.0287","3573.0233","BlosSec + 20% Malicious Nodes",40
"21","0.5579","0.7115","0.0209","4046.716","BlosSec + 20% Malicious Nodes",50
"22","0.55","0.741","0.0128","3943.7603","BlosSec + 20% Malicious Nodes",50
"23","0.5495","0.7401","0.0293","4136.0161","BlosSec + 20% Malicious Nodes",50
"24","0.5647","0.6945","0.0203","3953.5683","BlosSec + 20% Malicious Nodes",50
"25","0.5608","0.7094","0.0195","4172.0064","BlosSec + 20% Malicious Nodes",50
"26","0.5873","0.6234","0.0166","4489.7134","BlosSec + 20% Malicious Nodes",60
"27","0.5926","0.615","0.0263","4539.5041","BlosSec + 20% Malicious Nodes",60
"28","0.5784","0.6471","0.0178","4524.4918","BlosSec + 20% Malicious Nodes",60
"29","0.5741","0.6666","0.0167","4543.0897","BlosSec + 20% Malicious Nodes",60
"30","0.5897","0.6251","0.0166","4470.5357","BlosSec + 20% Malicious Nodes",60
"31","0.6138","0.5519","0.0164","4866.6521","BlosSec + 20% Malicious Nodes",70
"32","0.6179","0.5405","0.018","4925.6501","BlosSec + 20% Malicious Nodes",70
"33","0.6032","0.5835","0.0207","4890.4248","BlosSec + 20% Malicious Nodes",70
"34","0.6034","0.5717","0.023","4831.5743","BlosSec + 20% Malicious Nodes",70
"35","0.6114","0.5616","0.0168","4780.8796","BlosSec + 20% Malicious Nodes",70
"36","0.6312","0.5067","0.016","5118.349","BlosSec + 20% Malicious Nodes",80
"37","0.6317","0.5083","0.0189","5059.2796","BlosSec + 20% Malicious Nodes",80
"38","0.63","0.5107","0.0166","5178.7045","BlosSec + 20% Malicious Nodes",80
"39","0.6316","0.5081","0.016","5191.8803","BlosSec + 20% Malicious Nodes",80
"40","0.6189","0.5287","0.0213","4987.2115","BlosSec + 20% Malicious Nodes",80
"41","0.6472","0.4621","0.0216","5411.6472","BlosSec + 20% Malicious Nodes",90
"42","0.6605","0.439","0.0207","5235.2876","BlosSec + 20% Malicious Nodes",90
"43","0.6617","0.4473","0.032","5315.0506","BlosSec + 20% Malicious Nodes",90
"44","0.6502","0.4624","0.0202","5285.2049","BlosSec + 20% Malicious Nodes",90
"45","0.6528","0.4586","0.0233","5226.0821","BlosSec + 20% Malicious Nodes",90
"46","0.7141","0.3273","0.0256","5557.5512","BlosSec + 20% Malicious Nodes",100
"47","0.7148","0.3241","0.0289","5562.0211","BlosSec + 20% Malicious Nodes",100
"48","0.7162","0.3194","0.0229","5546.5239","BlosSec + 20% Malicious Nodes",100
"49","0.7119","0.3282","0.0235","5485.4989","BlosSec + 20% Malicious Nodes",100
"50","0.7104","0.3357","0.0209","5583.9293","BlosSec + 20% Malicious Nodes",100
