"","DP","Drop","OverHead","LatencyAvg","Algorithm","NrOfNodes"
"135",0.3065,0.0529102651530346,36.0168,2153.425,"FirstContact",50
"136",0.3108,0.0430115779317604,44.328,2345.3391,"FirstContact",60
"137",0.3249,0.0355421519561135,50.9737,2532.5651,"FirstContact",70
"138",0.3329,0.0299439045587422,58.8634,2633.5393,"FirstContact",80
"139",0.3539,0.0250391557406761,64.3014,2745.7876,"FirstContact",90
"140",0.3587,0.0221694281753278,71.572,3060.6625,"FirstContact",100
"141",0.136,0.448488642461098,5.4372,809.6657,"FirstContact",10
"142",0.191,0.208064444345543,13.4097,1338.264,"FirstContact",20
"143",0.2265,0.123992837958818,20.9229,1793.1631,"FirstContact",30
"144",0.2448,0.085616708780796,29.3033,2021.306,"FirstContact",40
"145",0.3139,0.0519825308961544,35.5205,2165.1294,"FirstContact",50
"146",0.305,0.0435504441903422,45.1034,2353.5835,"FirstContact",60
"147",0.3227,0.0356224446376704,51.2322,2386.1214,"FirstContact",70
"148",0.3281,0.0303478904515174,59.2225,2586.8608,"FirstContact",80
"149",0.3501,0.0256815130668262,63.8255,2780.4846,"FirstContact",90
"150",0.3546,0.0222649103549213,72.4378,2814.8436,"FirstContact",100
"151",0.1514,0.441366325981711,4.7585,923.173,"FirstContact",10
"152",0.1966,0.204724409448819,13.066,1405.2282,"FirstContact",20
"153",0.2337,0.120148378474211,20.8784,1820.9781,"FirstContact",30
"154",0.2448,0.085616708780796,29.3033,2021.306,"FirstContact",40
"155",0.3065,0.0527815504247557,36.2268,2088.1304,"FirstContact",50
"156",0.3133,0.0429601100412655,43.8321,2329.345,"FirstContact",60
"157",0.3227,0.0356224446376704,51.2322,2386.1214,"FirstContact",70
"158",0.3382,0.029545169188273,58.2214,2637.641,"FirstContact",80
"159",0.3501,0.0256815130668262,63.8255,2780.4846,"FirstContact",90
"160",0.3455,0.0223629431349209,75.1885,2867.89,"FirstContact",100
"161",0.1524,0.905789206072492,7.4899,871.4422,"Epidemic",10
"162",0.2245,0.927984876233237,19.5479,1550.7556,"Epidemic",20
"163",0.2169,0.941999745821948,42.3504,1845.2913,"Epidemic",30
"164",0.2144,0.949857942149001,73.5151,1809.3703,"Epidemic",40
"165",0.3616,0.923177058222282,88.1316,1777.6121,"Epidemic",50
"166",0.3461,0.930997594834029,127.4955,1905.3513,"Epidemic",60
"167",0.3101,0.93570274725124,185.4189,1786.9517,"Epidemic",70
"168",0.2987,0.938897249077071,245.261,1700.083,"Epidemic",80
"169",0.2721,0.942802547547994,334.9066,1735.4502,"Epidemic",90
"170",0.2736,0.945004070587426,408.9613,1784.2423,"Epidemic",100
"171",0.1625,0.906892466373963,7.5952,892.6063,"Epidemic",10
"172",0.2325,0.924727124941941,19.194,1525.7271,"Epidemic",20
"173",0.2278,0.940386216865955,40.7137,1711.4584,"Epidemic",30
"174",0.2144,0.949857942149001,73.5151,1809.3703,"Epidemic",40
"175",0.3502,0.922377797706869,90.9399,1881.0091,"Epidemic",50
"176",0.3408,0.928774212096166,127.2881,1818.4471,"Epidemic",60
"177",0.3101,0.93570274725124,185.4189,1786.9517,"Epidemic",70
"178",0.2995,0.939424649431087,243.6147,1683.8138,"Epidemic",80
"179",0.2721,0.942802547547994,334.9066,1735.4502,"Epidemic",90
"180",0.2693,0.944475163783227,403.4997,1766.0151,"Epidemic",100
"181",0.1533,0.909330109515005,7.8027,891.232,"Epidemic",10
"182",0.2156,0.928980121512417,20.4192,1527.7808,"Epidemic",20
"183",0.2266,0.942975338106603,40.4924,1717.5017,"Epidemic",30
"184",0.2062,0.949786097291856,76.5886,1704.0485,"Epidemic",40
"185",0.3707,0.923447481411666,87.1229,1829.65,"Epidemic",50
"186",0.3312,0.930242240862577,131.344,1816.1098,"Epidemic",60
"187",0.3169,0.934997435552837,181.2478,1772.2483,"Epidemic",70
"188",0.3076,0.93937997450298,239.6014,1807.1099,"Epidemic",80
"189",0.2785,0.942532844758245,326.4393,1787.6756,"Epidemic",90
"190",0.2736,0.943217378273632,398.155,1699.138,"Epidemic",100
"191",0.163,0.904371782788371,7.0073,915.994,"Epidemic",10
"192",0.2157,0.928179536566859,20.6461,1552.3607,"Epidemic",20
"193",0.2299,0.941057743379619,41.9672,1667.3069,"Epidemic",30
"194",0.2062,0.949786097291856,76.5886,1704.0485,"Epidemic",40
"195",0.3668,0.921886840111139,86.1008,1794.7838,"Epidemic",50
"196",0.3295,0.930116572953939,133.5273,1838.7553,"Epidemic",60
"197",0.3169,0.934997435552837,181.2478,1772.2483,"Epidemic",70
"198",0.3071,0.938103668415575,240.5401,1768.4572,"Epidemic",80
"199",0.2785,0.942532844758245,326.4393,1787.6756,"Epidemic",90
"200",0.2691,0.943038537989142,400.7147,1744.0648,"Epidemic",100
