"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.1825","4.2895","0.0066","952.1622","BlosSec + 10% Malicious Nodes",10
"2","0.1638","4.8759","0.0115","899.329","BlosSec + 10% Malicious Nodes",10
"3","0.1734","4.5596","0.0069","894.8741","BlosSec + 10% Malicious Nodes",10
"4","0.1719","4.6207","0.007","948.222","BlosSec + 10% Malicious Nodes",10
"5","0.1755","4.5237","0.0039","1009.3118","BlosSec + 10% Malicious Nodes",10
"6","0.3118","2.0853","0.0181","1975.5914","BlosSec + 10% Malicious Nodes",20
"7","0.3044","2.1524","0.0219","1979.762","BlosSec + 10% Malicious Nodes",20
"8","0.3082","2.1223","0.0177","2004.5115","BlosSec + 10% Malicious Nodes",20
"9","0.3071","2.129","0.0195","1966.208","BlosSec + 10% Malicious Nodes",20
"10","0.3138","2.038","0.0245","1977.0277","BlosSec + 10% Malicious Nodes",20
"11","0.399","1.4035","0.018","2909.3085","BlosSec + 10% Malicious Nodes",30
"12","0.397","1.4159","0.0203","2930.9796","BlosSec + 10% Malicious Nodes",30
"13","0.3863","1.4695","0.0204","2873.6067","BlosSec + 10% Malicious Nodes",30
"14","0.4043","1.3693","0.0152","2864.8527","BlosSec + 10% Malicious Nodes",30
"15","0.4151","1.312","0.0161","2878.1535","BlosSec + 10% Malicious Nodes",30
"16","0.4865","0.971","0.0165","3758.5612","BlosSec + 10% Malicious Nodes",40
"17","0.4833","0.9822","0.0198","3781.6641","BlosSec + 10% Malicious Nodes",40
"18","0.4867","0.9691","0.0186","3698.4495","BlosSec + 10% Malicious Nodes",40
"19","0.4754","1.0083","0.0287","3741.0647","BlosSec + 10% Malicious Nodes",40
"20","0.4973","0.9269","0.0271","3586.9483","BlosSec + 10% Malicious Nodes",40
"21","0.5875","0.6246","0.0204","4036.8586","BlosSec + 10% Malicious Nodes",50
"22","0.5779","0.6558","0.0154","3963.126","BlosSec + 10% Malicious Nodes",50
"23","0.5762","0.6554","0.0169","4141.1716","BlosSec + 10% Malicious Nodes",50
"24","0.5902","0.6193","0.0229","3960.5343","BlosSec + 10% Malicious Nodes",50
"25","0.5884","0.6278","0.0201","4177.0484","BlosSec + 10% Malicious Nodes",50
"26","0.619","0.538","0.0183","4519.2471","BlosSec + 10% Malicious Nodes",60
"27","0.631","0.5139","0.019","4564.0047","BlosSec + 10% Malicious Nodes",60
"28","0.6123","0.5532","0.0182","4568.8008","BlosSec + 10% Malicious Nodes",60
"29","0.608","0.5687","0.018","4543.6367","BlosSec + 10% Malicious Nodes",60
"30","0.6216","0.5407","0.0176","4504.7885","BlosSec + 10% Malicious Nodes",60
"31","0.6446","0.4748","0.0178","4909.1518","BlosSec + 10% Malicious Nodes",70
"32","0.6523","0.457","0.0194","4951.367","BlosSec + 10% Malicious Nodes",70
"33","0.6335","0.5046","0.0219","4939.8523","BlosSec + 10% Malicious Nodes",70
"34","0.6367","0.4855","0.0245","4875.7552","BlosSec + 10% Malicious Nodes",70
"35","0.6443","0.4783","0.0205","4812.6835","BlosSec + 10% Malicious Nodes",70
"36","0.6637","0.4322","0.017","5192.6653","BlosSec + 10% Malicious Nodes",80
"37","0.6622","0.4365","0.0212","5112.3887","BlosSec + 10% Malicious Nodes",80
"38","0.6601","0.4383","0.0186","5217.247","BlosSec + 10% Malicious Nodes",80
"39","0.6618","0.4368","0.0183","5250.7241","BlosSec + 10% Malicious Nodes",80
"40","0.65","0.4528","0.0231","5053.5203","BlosSec + 10% Malicious Nodes",80
"41","0.6789","0.3908","0.0251","5472.5855","BlosSec + 10% Malicious Nodes",90
"42","0.6898","0.3749","0.0233","5299.9681","BlosSec + 10% Malicious Nodes",90
"43","0.6939","0.3735","0.0239","5388.0194","BlosSec + 10% Malicious Nodes",90
"44","0.6833","0.3884","0.0215","5361.4782","BlosSec + 10% Malicious Nodes",90
"45","0.6833","0.3906","0.0252","5277.9751","BlosSec + 10% Malicious Nodes",90
"46","0.7143","0.3267","0.0273","5559.2716","BlosSec + 10% Malicious Nodes",100
"47","0.7145","0.3246","0.0316","5556.1335","BlosSec + 10% Malicious Nodes",100
"48","0.7165","0.3176","0.0262","5540.3767","BlosSec + 10% Malicious Nodes",100
"49","0.7119","0.3275","0.0267","5478.7049","BlosSec + 10% Malicious Nodes",100
"50","0.7099","0.3353","0.0246","5572.0663","BlosSec + 10% Malicious Nodes",100
