"","DP","Drop","OverHead","LatencyAvg","Algorithm","NrOfNodes"
"147",0.3956,0.0264807282587643,50.1964,2286.7956,"FirstContact",70
"148",0.4288,0.0214065864387525,54.6794,2373.0069,"FirstContact",80
"149",0.4443,0.0180560165737635,61.2254,2491.2929,"FirstContact",90
"150",0.4732,0.0151329993075074,65.1066,2572.4283,"FirstContact",100
"151",0.2011,0.34436593529193,5.2116,796.4835,"FirstContact",10
"152",0.2538,0.158234581942253,12.9266,1285.94,"FirstContact",20
"153",0.2893,0.0946337170252681,20.3858,1655.3012,"FirstContact",30
"154",0.3103,0.0647133841273994,28.4719,1796.1984,"FirstContact",40
"155",0.3896,0.0391907410326271,33.9829,1928.0546,"FirstContact",50
"156",0.3934,0.0315221065904045,42.3084,1976.3443,"FirstContact",60
"157",0.4215,0.0254609441927592,47.2424,2251.7381,"FirstContact",70
"158",0.4231,0.0216465929714569,55.524,2370.0292,"FirstContact",80
"159",0.4462,0.0180156403297895,60.813,2457.2278,"FirstContact",90
"160",0.4585,0.0155424861872831,67.2323,2639.2312,"FirstContact",100
"161",0.2023,0.898535941437657,7.7593,906.2515,"Epidemic",10
"162",0.2485,0.930636998060244,24.7485,1317.5775,"Epidemic",20
"163",0.2496,0.946287592364886,52.6001,1385.424,"Epidemic",30
"164",0.2334,0.951740467874428,96.1675,1287.9036,"Epidemic",40
"165",0.3687,0.925201084516405,120.9967,1386.1405,"Epidemic",50
"166",0.3288,0.933384506286902,188.6243,1397.5476,"Epidemic",60
"167",0.3085,0.93716260614883,265.2707,1359.5397,"Epidemic",70
"168",0.2956,0.94169127190752,355.8005,1348.8544,"Epidemic",80
"169",0.2759,0.944195662224117,467.9858,1385.1173,"Epidemic",90
"170",0.2633,0.946721428164683,601.3286,1402.4947,"Epidemic",100
"171",0.2112,0.899663336828743,8.5024,885.4875,"Epidemic",10
"172",0.2523,0.929072398190045,23.9235,1295.0485,"Epidemic",20
"173",0.2426,0.944858099850631,54.9464,1313.4825,"Epidemic",30
"174",0.2163,0.953736582456901,106.6693,1311.3927,"Epidemic",40
"175",0.3639,0.926503535365892,122.2207,1397.345,"Epidemic",50
"176",0.3231,0.933094303713245,194.2566,1351.8559,"Epidemic",60
"177",0.3147,0.938091897922459,258.2442,1367.0468,"Epidemic",70
"178",0.2836,0.942562318525464,373.1838,1342.574,"Epidemic",80
"179",0.2742,0.945021214580424,479.4462,1304.8035,"Epidemic",90
"180",0.2712,0.946205682502723,570.2623,1341.5946,"Epidemic",100
"181",0.223,0.897552928237558,8.0682,870.0045,"Epidemic",10
"182",0.2504,0.929315056118877,24.1589,1291.9123,"Epidemic",20
"183",0.245,0.946835729650175,54.5017,1330.329,"Epidemic",30
"184",0.2265,0.952503758050503,99.8855,1369.1904,"Epidemic",40
"185",0.3647,0.927134706508075,123.5183,1410.2053,"Epidemic",50
"186",0.3265,0.934701391253708,195.9743,1393.7816,"Epidemic",60
"187",0.3169,0.938010235106299,259.5497,1418.5792,"Epidemic",70
"188",0.292,0.942023456591517,356.9596,1370.2399,"Epidemic",80
"189",0.2738,0.945394972375156,483.8231,1338.5761,"Epidemic",90
"190",0.2686,0.946713471969701,595.0611,1304.7452,"Epidemic",100
"191",0.2219,0.899766773336226,8.3118,859.0228,"Epidemic",10
"192",0.2535,0.932115227788676,24.6375,1287.3877,"Epidemic",20
"193",0.2467,0.94508553672708,52.8487,1314.252,"Epidemic",30
"194",0.2212,0.953112324546155,103.5532,1328.1414,"Epidemic",40
"195",0.3666,0.926401928833403,124.5661,1376.4628,"Epidemic",50
"196",0.3414,0.933123943223838,183.99,1373.6892,"Epidemic",60
"197",0.307,0.938275843550045,269.7793,1369.6639,"Epidemic",70
"198",0.2927,0.941528387170552,362.4907,1303.9821,"Epidemic",80
"199",0.2803,0.944737835692296,472.0785,1359.6635,"Epidemic",90
"200",0.2609,0.946310826526902,598.7346,1263.285,"Epidemic",100
