"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.2066","3.7425","0.0033","1180.0782","BlosSec + 50% Malicious Nodes",10
"2","0.1683","4.6371","0.0477","1198.4532","BlosSec + 50% Malicious Nodes",10
"3","0.1917","4.0231","0.0169","1199.5944","BlosSec + 50% Malicious Nodes",10
"4","0.1934","3.9957","0.0018","1253.1825","BlosSec + 50% Malicious Nodes",10
"5","0.1898","4.0896","0.009","1231.727","BlosSec + 50% Malicious Nodes",10
"6","0.2974","2.2678","0.0075","2164.1245","BlosSec + 50% Malicious Nodes",20
"7","0.2781","2.5009","0.0037","2226.5527","BlosSec + 50% Malicious Nodes",20
"8","0.2757","2.5","0.0161","2195.7784","BlosSec + 50% Malicious Nodes",20
"9","0.2723","2.5562","0.0063","2214.9945","BlosSec + 50% Malicious Nodes",20
"10","0.2791","2.47","0.0055","2285.2975","BlosSec + 50% Malicious Nodes",20
"11","0.3879","1.4729","0.0141","2843.7181","BlosSec + 50% Malicious Nodes",30
"12","0.3875","1.4863","0.0309","2943.7449","BlosSec + 50% Malicious Nodes",30
"13","0.3874","1.5052","0.0062","2814.0484","BlosSec + 50% Malicious Nodes",30
"14","0.3987","1.4368","0.0056","3005.0192","BlosSec + 50% Malicious Nodes",30
"15","0.3882","1.494","0.0079","2913.3873","BlosSec + 50% Malicious Nodes",30
"16","0.4513","1.1399","0.0083","3543.9093","BlosSec + 50% Malicious Nodes",40
"17","0.4653","1.0778","0.026","3571.2149","BlosSec + 50% Malicious Nodes",40
"18","0.4681","1.0704","0.0142","3480.838","BlosSec + 50% Malicious Nodes",40
"19","0.4597","1.1032","0.0115","3425.7278","BlosSec + 50% Malicious Nodes",40
"20","0.4657","1.0749","0.0081","3558.7392","BlosSec + 50% Malicious Nodes",40
"21","0.563","0.7188","0.0106","3707.1979","BlosSec + 50% Malicious Nodes",50
"22","0.5432","0.7836","0.0104","3658.338","BlosSec + 50% Malicious Nodes",50
"23","0.5481","0.77","0.0747","3828.4942","BlosSec + 50% Malicious Nodes",50
"24","0.5413","0.783","0.0092","3853.4363","BlosSec + 50% Malicious Nodes",50
"25","0.5533","0.7433","0.0111","3678.2226","BlosSec + 50% Malicious Nodes",50
"26","0.5698","0.6894","0.0108","4028.8025","BlosSec + 50% Malicious Nodes",60
"27","0.5684","0.6978","0.009","4024.9601","BlosSec + 50% Malicious Nodes",60
"28","0.5861","0.6461","0.0216","3939.2182","BlosSec + 50% Malicious Nodes",60
"29","0.5873","0.6415","0.0088","4044.839","BlosSec + 50% Malicious Nodes",60
"30","0.5731","0.6806","0.0084","4019.4193","BlosSec + 50% Malicious Nodes",60
"31","0.6088","0.5822","0.0096","4377.0599","BlosSec + 50% Malicious Nodes",70
"32","0.6013","0.6116","0.0635","4283.9301","BlosSec + 50% Malicious Nodes",70
"33","0.5854","0.6457","0.0216","4338.9413","BlosSec + 50% Malicious Nodes",70
"34","0.6057","0.5866","0.0136","4240.8956","BlosSec + 50% Malicious Nodes",70
"35","0.5994","0.6042","0.0094","4286.1555","BlosSec + 50% Malicious Nodes",70
"36","0.6295","0.5311","0.0084","4411.1024","BlosSec + 50% Malicious Nodes",80
"37","0.6232","0.5599","0.0565","4431.3009","BlosSec + 50% Malicious Nodes",80
"38","0.6387","0.5094","0.0112","4351.7145","BlosSec + 50% Malicious Nodes",80
"39","0.6121","0.5747","0.0087","4358.5308","BlosSec + 50% Malicious Nodes",80
"40","0.6269","0.5318","0.0106","4398.7273","BlosSec + 50% Malicious Nodes",80
"41","0.6427","0.4988","0.0114","4462.356","BlosSec + 50% Malicious Nodes",90
"42","0.6414","0.4986","0.0101","4510.2033","BlosSec + 50% Malicious Nodes",90
"43","0.6463","0.4878","0.01","4546.973","BlosSec + 50% Malicious Nodes",90
"44","0.6535","0.4749","0.0131","4443.5359","BlosSec + 50% Malicious Nodes",90
"45","0.6482","0.4883","0.0097","4502.1078","BlosSec + 50% Malicious Nodes",90
"46","0.6676","0.4446","0.0113","4555.585","BlosSec + 50% Malicious Nodes",100
"47","0.6753","0.4252","0.0114","4722.7267","BlosSec + 50% Malicious Nodes",100
"48","0.6658","0.4421","0.0118","4697.2433","BlosSec + 50% Malicious Nodes",100
"49","0.6666","0.4588","0.0518","4601.1592","BlosSec + 50% Malicious Nodes",100
"50","0.6594","0.4553","0.0104","4502.8607","BlosSec + 50% Malicious Nodes",100
