"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"75","0.367","0.9454","124.15","1327.909","Epidemic",50
"76","0.376","0.7489","84.66","1202.9217","0.1H0.0S0.8A (1)",60
"77","0.369","0.7329","86.24","1224.3559","0.1H0.0S1A (2)",60
"78","0.743","0.3195","0.21","4196.4041","0.1H10000.0S0.8A (3)",60
"79","0.738","0.3286","0.3","4124.4774","0.1H10000.0S1A (4)",60
"80","0.754","0.2914","0.12","4292.2265","0.1H20000.0S0.8A (5)",60
"81","0.752","0.2953","0.16","4277.1857","0.1H20000.0S1A (6)",60
"82","0.369","0.6957","79.52","1262.0846","0.2H0.0S0.8A (7)",60
"83","0.383","0.6813","77.29","1253.5034","0.2H0.0S1A (8)",60
"84","0.743","0.3006","0.18","4164.1911","0.2H10000.0S0.8A (9)",60
"85","0.746","0.2961","0.21","4157.2354","0.2H10000.0S1A (10)",60
"86","0.755","0.2744","0.08","4294.436","0.2H20000.0S0.8A (11)",60
"87","0.756","0.272","0.09","4287.2225","0.2H20000.0S1A (12)",60
"88","0.573","0.9658","90.66","1231.801","PRoPHET",60
"89","0.388","0.0339","42.67","2062.0729","Fist Contact",60
"90","0.326","0.9472","192.02","1383.2268","Epidemic",60
"91","0.372","0.7567","115.57","1177.8319","0.1H0.0S0.8A (1)",70
"92","0.376","0.7382","114.79","1184.5679","0.1H0.0S1A (2)",70
"93","0.769","0.2995","0.37","4380.4229","0.1H10000.0S0.8A (3)",70
"94","0.766","0.3113","0.47","4343.5998","0.1H10000.0S1A (4)",70
"95","0.787","0.2489","0.16","4577.7796","0.1H20000.0S0.8A (5)",70
"96","0.786","0.2698","0.2","4579.4857","0.1H20000.0S1A (6)",70
"97","0.363","0.7022","110.54","1220.5678","0.2H0.0S0.8A (7)",70
"98","0.373","0.6873","108.4","1246.4532","0.2H0.0S1A (8)",70
"99","0.777","0.2574","0.25","4448.2796","0.2H10000.0S0.8A (9)",70
"100","0.774","0.2611","0.25","4407.4795","0.2H10000.0S1A (10)",70
"101","0.787","0.2242","0.09","4592.7694","0.2H20000.0S0.8A (11)",70
"102","0.79","0.2195","0.06","4595.786","0.2H20000.0S1A (12)",70
"103","0.559","0.9647","123.65","1199.5799","PRoPHET",70
"104","0.416","0.0268","47.94","2219.2845","Fist Contact",70
"105","0.31","0.9487","264.36","1367.554","Epidemic",70
"106","0.351","0.7583","164.67","1140.0265","0.1H0.0S0.8A (1)",80
"107","0.369","0.7409","158.07","1171.9381","0.1H0.0S1A (2)",80
"108","0.779","0.291","0.46","4460.1386","0.1H10000.0S0.8A (3)",80
"109","0.768","0.3134","0.73","4364.1426","0.1H10000.0S1A (4)",80
"110","0.799","0.24","0.2","4690.5909","0.1H20000.0S0.8A (5)",80
"111","0.798","0.2557","0.33","4676.6618","0.1H20000.0S1A (6)",80
"112","0.359","0.7029","148.45","1219.0232","0.2H0.0S0.8A (7)",80
"113","0.364","0.6894","150.09","1189.3325","0.2H0.0S1A (8)",80
"114","0.788","0.2447","0.38","4505.0876","0.2H10000.0S0.8A (9)",80
"115","0.787","0.2408","0.32","4495.0998","0.2H10000.0S1A (10)",80
"116","0.801","0.2099","0.17","4682.787","0.2H20000.0S0.8A (11)",80
"117","0.802","0.2018","0.1","4686.1825","0.2H20000.0S1A (12)",80
"118","0.529","0.9648","169.58","1233.5697","PRoPHET",80
"119","0.433","0.0223","54.02","2335.0206","Fist Contact",80
"120","0.296","0.9507","356.01","1355.5485","Epidemic",80
"121","0.354","0.7579","208.1","1131.4541","0.1H0.0S0.8A (1)",90
"122","0.363","0.7406","205.88","1105.0352","0.1H0.0S1A (2)",90
"123","0.787","0.2896","0.58","4476.9443","0.1H10000.0S0.8A (3)",90
"124","0.776","0.3085","0.78","4378.8447","0.1H10000.0S1A (4)",90
"125","0.809","0.2193","0.19","4764.9978","0.1H20000.0S0.8A (5)",90
"126","0.807","0.2364","0.26","4769.9971","0.1H20000.0S1A (6)",90
"127","0.359","0.7024","192.96","1170.4225","0.2H0.0S0.8A (7)",90
"128","0.358","0.687","192.81","1161.6659","0.2H0.0S1A (8)",90
"129","0.798","0.2433","0.45","4560.2977","0.2H10000.0S0.8A (9)",90
"130","0.783","0.2612","0.59","4448.1653","0.2H10000.0S1A (10)",90
"131","0.811","0.19","0.11","4766.8718","0.2H20000.0S0.8A (11)",90
"132","0.811","0.1924","0.14","4775.0831","0.2H20000.0S1A (12)",90
"133","0.517","0.9648","217.85","1209.4309","PRoPHET",90
"134","0.452","0.0184","60.25","2495.1861","Fist Contact",90
"135","0.276","0.9513","470.11","1343.5086","Epidemic",90
"136","0.359","0.7626","258.39","1114.2074","0.1H0.0S0.8A (1)",100
"137","0.368","0.7439","257.22","1093.5601","0.1H0.0S1A (2)",100
"138","0.812","0.246","0.55","4578.0495","0.1H10000.0S0.8A (3)",100
"139","0.799","0.2724","0.81","4475.58","0.1H10000.0S1A (4)",100
"140","0.826","0.1725","0.13","4884.0892","0.1H20000.0S0.8A (5)",100
"141","0.822","0.2006","0.26","4873.663","0.1H20000.0S1A (6)",100
"142","0.36","0.7066","241.29","1188.1628","0.2H0.0S0.8A (7)",100
"143","0.356","0.6901","241.43","1172.2518","0.2H0.0S1A (8)",100
"144","0.807","0.2436","0.56","4574.6299","0.2H10000.0S0.8A (9)",100
"145","0.804","0.2392","0.6","4500.6136","0.2H10000.0S1A (10)",100
"146","0.827","0.169","0.12","4894.6678","0.2H20000.0S0.8A (11)",100
"147","0.827","0.1653","0.1","4892.276","0.2H20000.0S1A (12)",100
"148","0.492","0.9641","276.72","1173.6537","PRoPHET",100
"149","0.45","0.0163","68.69","2560.3713","Fist Contact",100
"150","0.275","0.9523","580.86","1323.4856","Epidemic",100
