"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.2416","3.0416","0.0035","952.1968","BlosSec + 20% Malicious Nodes",10
"2","0.2113","3.5715","0.0162","1016.8502","BlosSec + 20% Malicious Nodes",10
"3","0.2322","3.1516","0.0162","992.395","BlosSec + 20% Malicious Nodes",10
"4","0.2366","3.0781","0.0029","957.6129","BlosSec + 20% Malicious Nodes",10
"5","0.2382","3.0612","0.0057","1018.0649","BlosSec + 20% Malicious Nodes",10
"6","0.3849","1.5183","0.0093","2037.095","BlosSec + 20% Malicious Nodes",20
"7","0.3721","1.6003","0.0083","1985.2725","BlosSec + 20% Malicious Nodes",20
"8","0.3709","1.6016","0.0147","1988.4158","BlosSec + 20% Malicious Nodes",20
"9","0.3709","1.6117","0.0069","2002.7916","BlosSec + 20% Malicious Nodes",20
"10","0.3779","1.5517","0.0158","2041.9057","BlosSec + 20% Malicious Nodes",20
"11","0.4849","0.9827","0.0116","2805.8257","BlosSec + 20% Malicious Nodes",30
"12","0.4781","1.0186","0.0415","2798.7275","BlosSec + 20% Malicious Nodes",30
"13","0.482","1.0045","0.0153","2771.4788","BlosSec + 20% Malicious Nodes",30
"14","0.494","0.962","0.0094","2893.5494","BlosSec + 20% Malicious Nodes",30
"15","0.4832","0.9921","0.0135","2832.4321","BlosSec + 20% Malicious Nodes",30
"16","0.5724","0.6856","0.0086","3570.9844","BlosSec + 20% Malicious Nodes",40
"17","0.5968","0.6242","0.0106","3579.5348","BlosSec + 20% Malicious Nodes",40
"18","0.5797","0.667","0.0177","3492.6492","BlosSec + 20% Malicious Nodes",40
"19","0.5823","0.6586","0.0123","3576.3948","BlosSec + 20% Malicious Nodes",40
"20","0.5823","0.6555","0.0164","3589.6097","BlosSec + 20% Malicious Nodes",40
"21","0.6858","0.4089","0.0165","3812.3802","BlosSec + 20% Malicious Nodes",50
"22","0.663","0.4592","0.0119","3812.8126","BlosSec + 20% Malicious Nodes",50
"23","0.6601","0.467","0.0259","3901.4358","BlosSec + 20% Malicious Nodes",50
"24","0.6592","0.4571","0.0153","3937.0649","BlosSec + 20% Malicious Nodes",50
"25","0.667","0.4462","0.0098","3776.9446","BlosSec + 20% Malicious Nodes",50
"26","0.6851","0.4101","0.0245","4193.7169","BlosSec + 20% Malicious Nodes",60
"27","0.6921","0.3933","0.0131","4194.1306","BlosSec + 20% Malicious Nodes",60
"28","0.7055","0.3711","0.0236","4148.9289","BlosSec + 20% Malicious Nodes",60
"29","0.7067","0.3603","0.0099","4236.574","BlosSec + 20% Malicious Nodes",60
"30","0.6897","0.396","0.0174","4161.9497","BlosSec + 20% Malicious Nodes",60
"31","0.7207","0.3326","0.0147","4531.7572","BlosSec + 20% Malicious Nodes",70
"32","0.7036","0.3593","0.0163","4478.8302","BlosSec + 20% Malicious Nodes",70
"33","0.71","0.3528","0.0123","4530.1735","BlosSec + 20% Malicious Nodes",70
"34","0.711","0.3489","0.0171","4383.2415","BlosSec + 20% Malicious Nodes",70
"35","0.711","0.3508","0.0147","4511.6503","BlosSec + 20% Malicious Nodes",70
"36","0.7376","0.3035","0.0123","4609.635","BlosSec + 20% Malicious Nodes",80
"37","0.7266","0.3208","0.02","4630.5463","BlosSec + 20% Malicious Nodes",80
"38","0.7499","0.2814","0.0169","4603.6142","BlosSec + 20% Malicious Nodes",80
"39","0.7319","0.3138","0.0121","4619.1759","BlosSec + 20% Malicious Nodes",80
"40","0.7335","0.3077","0.0156","4600.2065","BlosSec + 20% Malicious Nodes",80
"41","0.756","0.2701","0.0158","4691.1916","BlosSec + 20% Malicious Nodes",90
"42","0.754","0.2744","0.0152","4756.2847","BlosSec + 20% Malicious Nodes",90
"43","0.7596","0.2624","0.015","4825.1136","BlosSec + 20% Malicious Nodes",90
"44","0.7628","0.2591","0.0188","4671.2873","BlosSec + 20% Malicious Nodes",90
"45","0.7608","0.2641","0.0155","4717.4326","BlosSec + 20% Malicious Nodes",90
"46","0.762","0.292","0.0621","4770.7571","BlosSec + 20% Malicious Nodes",100
"47","0.7709","0.2448","0.0228","4896.2751","BlosSec + 20% Malicious Nodes",100
"48","0.7665","0.249","0.0196","4885.8358","BlosSec + 20% Malicious Nodes",100
"49","0.7625","0.2583","0.0287","4803.9977","BlosSec + 20% Malicious Nodes",100
"50","0.7629","0.2553","0.0233","4710.2427","BlosSec + 20% Malicious Nodes",100
